mass,limit_95,med_limit,2sigma_up,1sigma_up,1sigma_down,test_statistic
0.14313,7.478594387330963e-10,1.042118248326341e-09,1.5518426637574532e-09,1.3217825983963912e-09,6.518576798950317e-10,-0.7988394561413527
0.14318,6.549959272016754e-10,1.0443263801089135e-09,1.5536393845656194e-09,1.3237107022421256e-09,6.549959272016754e-10,-1.331377559453109
0.14322,6.387132568874883e-10,1.0339165183132111e-09,1.5464293564232014e-09,1.3153704048514378e-09,6.387132568874883e-10,-1.6864379261087672
0.14327,6.523671304487957e-10,1.0427284433994876e-09,1.552631457497374e-09,1.3224890143547097e-09,6.523671304487957e-10,-1.6587505952748332
0.14331,6.488441055910732e-10,1.0402126206568058e-09,1.5505386864841311e-09,1.320266456695575e-09,6.488441055910732e-10,-1.5207458186752405
0.14336,6.542296217885371e-10,1.0435193157032159e-09,1.5526604508071184e-09,1.3228171754026131e-09,6.542296217885371e-10,-1.1678808867681023
0.14341,6.547102833974838e-10,1.0436194338900746e-09,1.5526852692220285e-09,1.3228726697288863e-09,6.544313808679289e-10,-0.9962356438214843
0.14345,8.436817887029449e-10,1.0423013412375234e-09,1.5517119299842638e-09,1.321780319436205e-09,6.524379425354731e-10,-0.5675408067611782
0.1435,1.0090122195221218e-09,1.043031505604413e-09,1.5524209291114185e-09,1.3224867735828808e-09,6.533294505077492e-10,-0.104787655778361
0.14355,1.19889322988829e-09,1.0425510322693402e-09,1.5520953481949658e-09,1.322103365561754e-09,6.525829120755655e-10,0.5294772287338919
0.14359,1.3203950629849255e-09,1.0406474690058778e-09,1.550910444184474e-09,1.3206586432645922e-09,6.494254778874679e-10,0.9917987300450211
0.14364,1.4638102859499272e-09,1.0467148633710657e-09,1.5547835288015965e-09,1.3253193228441404e-09,6.593972086743345e-10,1.5974582030935673
0.14369,1.5671379330619132e-09,1.0370810173938578e-09,1.5483741190439929e-09,1.3177584084010708e-09,6.439506387831832e-10,2.0707037641745734
0.14373,1.6029031474354248e-09,1.0274907550057006e-09,1.541666185309864e-09,1.3100298590346968e-09,6.291607197940142e-10,2.243514167113362
0.14378,1.549976517056071e-09,1.0412350670568386e-09,1.550953478126748e-09,1.320911152909888e-09,6.508075203149828e-10,1.9918283519301245
0.14382,1.4180091096472188e-09,1.04374646027323e-09,1.5527468419082455e-09,1.3229542117857858e-09,6.546925462045236e-10,1.3981454131609645
0.14387,1.1542865660297766e-09,1.0411757396953634e-09,1.5510270482775342e-09,1.3209318964856831e-09,6.505726981992274e-10,0.3714098895748048
0.14392,8.031055874585983e-10,1.043042585718488e-09,1.5519979077087616e-09,1.3222384824566818e-09,6.538865979973292e-10,-0.6681612993025511
0.14396,6.494082596162006e-10,1.0401707077060034e-09,1.549978364628289e-09,1.3199207996227053e-09,6.494082596162006e-10,-1.3438493478461968
0.14401,6.680097798174412e-10,1.052546833737588e-09,1.5593242873364007e-09,1.3302852342701322e-09,6.680097798174412e-10,-1.8731326242984652
0.14406,6.75131052887132e-10,1.056010069700138e-09,1.5604059738904499e-09,1.3322804269696643e-09,6.75131052887132e-10,-2.0468524829751544
0.1441,6.595926198120412e-10,1.0464151867553345e-09,1.554004497991184e-09,1.324746277642646e-09,6.595926198120412e-10,-2.077300806056545
0.14415,6.368755271872705e-10,1.0324994869395609e-09,1.5451444185446158e-09,1.3140548523051325e-09,6.368755271872705e-10,-1.9367911204765933
0.1442,6.371088489136354e-10,1.0329324426088538e-09,1.5458342304187757e-09,1.314628431248236e-09,6.371088489136354e-10,-1.5436045831923173
0.14424,6.513479892865792e-10,1.042185362636177e-09,1.552413557735252e-09,1.3221428404731963e-09,6.513479892865792e-10,-1.1027638587700128
0.14429,9.127786847215517e-10,1.0431715185882674e-09,1.5534129323715691e-09,1.32311363811466e-09,6.525479085066017e-10,-0.38702464412644916
0.14434,1.144327391786631e-09,1.0395920931961323e-09,1.5470160195372627e-09,1.3179515891654275e-09,6.515544910747519e-10,0.35062619397754186
0.14438,1.2583328903924186e-09,1.0326418939201192e-09,1.5377939036793907e-09,1.309797227052397e-09,6.458718004516428e-10,0.79418961550495
0.14443,1.3696450175721321e-09,1.032729087899415e-09,1.5377250321880102e-09,1.309790340255567e-09,6.461675286486424e-10,1.2457341205181611
0.14448,1.403786732566158e-09,1.0305679532499205e-09,1.5365912928704755e-09,1.3082768834780698e-09,6.423223537100093e-10,1.3890425706436564
0.14452,1.4677340155927256e-09,1.0284770023606579e-09,1.5348934124143592e-09,1.3064543131995668e-09,6.393541589048381e-10,1.6740693389300334
0.14457,1.5032334115768268e-09,1.0283220580457743e-09,1.5382561052066195e-09,1.3083653299774012e-09,6.350242286819031e-10,1.807302959309451
0.14462,1.7823021597556228e-09,1.0427391130170174e-09,1.5624437373132507e-09,1.3282541990371638e-09,6.40831940989846e-10,3.044430585072032
0.14466,1.6310697674712045e-09,1.0709002464853402e-09,1.589799508402971e-09,1.355392960066683e-09,6.758052067682316e-10,2.2099531453533063
0.14471,1.7002785442959228e-09,1.0738464971511026e-09,1.5879563854669853e-09,1.355484120835786e-09,6.850802412694752e-10,2.5785859095958865
0.14476,1.3860259114690752e-09,1.0600286031162645e-09,1.5794119760564046e-09,1.345017951647e-09,6.620387805947776e-10,1.1581567304279816
0.1448,9.164751323430843e-10,1.0629522550922223e-09,1.581007804433677e-09,1.3471080582655358e-09,6.6714287267426e-10,-0.4182895914867197
0.14485,6.552009718233313e-10,1.0558264701027224e-09,1.5767405731608349e-09,1.3417888159757044e-09,6.552009718233313e-10,-1.8551231110287787
0.1449,6.877551369988606e-10,1.0766774040896073e-09,1.5915522881905439e-09,1.3586840838226008e-09,6.877551369988606e-10,-2.3734316286614723
0.14494,6.88345939648695e-10,1.0779759650841358e-09,1.5936514483730782e-09,1.3604331201211754e-09,6.88345939648695e-10,-2.155291215603503
0.14499,6.547051261136123e-10,1.0603512545489515e-09,1.5863815165099116e-09,1.3492175878779093e-09,6.547051261136123e-10,-1.6790647272625814
0.14504,6.657010134779544e-10,1.0651516575816636e-09,1.5868723213469357e-09,1.3513747848049754e-09,6.657010134779544e-10,-1.3365245356413682
0.14508,6.610967326629572e-10,1.06264359744788e-09,1.5856746612539064e-09,1.3496878473323951e-09,6.610967326629572e-10,-1.5975720831738591
