mass,limit_95,med_limit,2sigma_up,1sigma_up,1sigma_down,test_statistic
0.1007,3.158928489257239e-09,3.534220654083527e-09,5.2676114063611246e-09,4.48543999229601e-09,2.2050987038615713e-09,-0.33668083282844813
0.10074,2.454619442233644e-09,3.554165314988509e-09,5.280677134291736e-09,4.500976381402929e-09,2.237346712984351e-09,-0.8548225688353913
0.10077,2.241631768926271e-09,3.554371364563113e-09,5.277482471924697e-09,4.499187715263524e-09,2.241631768926271e-09,-1.2395926793891072
0.10081,2.1946350647388897e-09,3.523185172711649e-09,5.254109912266974e-09,4.473178936852422e-09,2.1946350647388897e-09,-1.5222588416403784
0.10084,2.2220361544807256e-09,3.539738083707066e-09,5.264400859305479e-09,4.4857458119980675e-09,2.2220361544807256e-09,-1.4387276638606958
0.10088,2.4366261241332827e-09,3.5417624636450067e-09,5.2679849437046135e-09,4.4886436159485354e-09,2.2226450947841023e-09,-0.8640538824462785
0.10091,,,,,,
0.10095,,,,,,
0.10098,,,,,,
0.10102,,,,,,
0.10106,,,,,,
0.10109,,,,,,
0.10113,,,,,,
0.10116,,,,,,
0.1012,,,,,,
0.10123,,,,,,
0.10127,,,,,,
0.1013,,,,,,
0.10134,,,,,,
0.10137,,,,,,
0.10141,,,,,,
0.10144,,,,,,
0.10148,,,,,,
0.10152,,,,,,
0.10155,,,,,,
0.10159,,,,,,
0.10162,,,,,,
0.10166,,,,,,
0.10169,,,,,,
0.10173,,,,,,
0.10176,,,,,,
0.1018,,,,,,
0.10183,,,,,,
0.10187,,,,,,
0.10191,,,,,,
0.10194,,,,,,
0.10198,,,,,,
0.10201,2.144924863472793e-09,3.4822438616382635e-09,5.213997603276657e-09,4.433407948271802e-09,2.144924863472793e-09,-1.785197086718605
0.10205,2.22766500205999e-09,3.5318993214408535e-09,5.244057851339738e-09,4.470669767817931e-09,2.22766500205999e-09,-1.9991075811126147
0.10208,2.1590687629100838e-09,3.485571079644982e-09,5.208476109573907e-09,4.4315149728337654e-09,2.1590687629100838e-09,-1.486690937157725
0.10212,2.6652747880345083e-09,3.514507689311563e-09,5.2349324554708785e-09,4.458472901707741e-09,2.196680978797335e-09,-0.7010106659101717
0.10215,3.5616951222358816e-09,3.5165610252526516e-09,5.235024585364468e-09,4.459324327363106e-09,2.2015642146735878e-09,0.042194224317191546
0.10219,4.369333841310424e-09,3.53329078010069e-09,5.250953337317421e-09,4.475210055673543e-09,2.223093594866459e-09,0.8863453431513273
0.10223,4.942269230853219e-09,3.521843381535356e-09,5.261234575025409e-09,4.4767307836962085e-09,2.1836069199549807e-09,1.5536548683778868
0.10226,4.899627389294736e-09,3.539041160958482e-09,5.2710414271772346e-09,4.489263042100562e-09,2.213027483234294e-09,1.5029231521667241
0.1023,4.627290862233529e-09,3.5059538402766804e-09,5.2422228803051735e-09,4.4593619884246835e-09,2.1677751236351564e-09,1.1734699869184777
0.10233,4.0316300324956295e-09,3.528759945889649e-09,5.256439035147287e-09,4.47670472827539e-09,2.205297184265732e-09,0.49682482362252484
0.10237,3.106077103299379e-09,3.5400206884659968e-09,5.264035211086128e-09,4.485602668233555e-09,2.2232458033146124e-09,-0.37356221671788753
0.1024,2.1598013153932095e-09,3.497701640245878e-09,5.2322929385356755e-09,4.450285913016899e-09,2.1598013153932095e-09,-1.2903208723213953
0.10244,2.2860544182010904e-09,3.5730934220034708e-09,5.2785388828667e-09,4.507100899867669e-09,2.2860544182010904e-09,-2.2558665033711565
0.10247,2.236243033328402e-09,3.543554468690874e-09,5.260118501595494e-09,4.484725823776744e-09,2.236243033328402e-09,-3.0148803331256127
0.10251,2.1995869342461137e-09,3.5113174066395685e-09,5.226146431016851e-09,4.452036784013178e-09,2.1995869342461137e-09,-2.3187977850596244
0.10255,2.35340994768803e-09,3.485035561074368e-09,5.1963037928217654e-09,4.424131236218314e-09,2.1722767975527354e-09,-0.8991034581411068
0.10258,3.743952235060269e-09,3.4801893081339022e-09,5.185374170214081e-09,4.415788353310282e-09,2.1737555940309352e-09,0.2527783754489977
0.10262,5.025274882281085e-09,3.474308601278976e-09,5.1568475536198644e-09,4.396742537936001e-09,2.193573763028966e-09,1.8333690129716185
0.10265,5.364539504573607e-09,3.4903316492498655e-09,5.164014633726109e-09,4.407221857084703e-09,2.2239688696786485e-09,2.3292311470803697
0.10269,5.382748265890067e-09,3.405285686465796e-09,5.0917001592047275e-09,4.331216392235893e-09,2.1062087800364438e-09,2.401432528483963
0.10272,5.3440933150146554e-09,3.4588241188601613e-09,5.121800863935001e-09,4.369982443164825e-09,2.198838467017815e-09,2.3602620134853893
0.10276,4.992618263213478e-09,3.4269038119866534e-09,5.096191474510375e-09,4.342360636207966e-09,2.1525997080349505e-09,1.862000708442828
0.1028,4.563284565297076e-09,3.4210316616949635e-09,5.082974300652112e-09,4.332317506737777e-09,2.1540864480985596e-09,1.30352529649586
0.10283,4.200522887837865e-09,3.4086356024817563e-09,5.071631715571852e-09,4.320776721678794e-09,2.1378070149683518e-09,0.8587331620674103
0.10287,3.11523854373533e-09,3.394762442790984e-09,5.053669908363759e-09,4.3048136984283325e-09,2.1256207472132374e-09,-0.25965888724978253
0.1029,2.096971727021042e-09,3.377489619113944e-09,5.043210192526979e-09,4.291796152708467e-09,2.096971727021042e-09,-1.099739334409588
0.10294,2.106219821311374e-09,3.383410789778907e-09,5.046610580764336e-09,4.296299886102606e-09,2.106219821311374e-09,-1.8923325300230367
0.10297,2.112106311701756e-09,3.3812650795244595e-09,5.03728301140799e-09,4.2899849541234615e-09,2.112106311701756e-09,-2.1759884761430675
0.10301,2.1541562974325e-09,3.410060288234648e-09,5.060010436756982e-09,4.314677018477235e-09,2.1541562974325e-09,-2.146721622992509
0.10305,2.0668309964883374e-09,3.3548885666068475e-09,5.022594562451259e-09,4.270935595659937e-09,2.0668309964883374e-09,-1.7547057091311773
0.10308,2.1435951161420095e-09,3.407384290383855e-09,5.063642696447224e-09,4.3157148626809225e-09,2.1435951161420095e-09,-1.1221394745179847
0.10312,3.3302963346561537e-09,3.4056352155828605e-09,5.0693119256205546e-09,4.318318599376339e-09,2.1328421815127947e-09,-0.07153705869173407
0.10315,4.090017766907432e-09,3.4229187833405788e-09,5.084848229912492e-09,4.3342641144308e-09,2.1557914641794565e-09,0.7212607080836686
0.10319,4.421309464074371e-09,3.4065664575743736e-09,5.0736958070342276e-09,4.321227060018023e-09,2.130066523169361e-09,1.1211621110288534
0.10322,4.279321716946944e-09,3.4213535153587636e-09,5.082006625423151e-09,4.331916987620671e-09,2.155764046524832e-09,0.9494352274999595
0.10326,4.0950466195559695e-09,3.394308797655137e-09,5.063640876400169e-09,4.310435934546322e-09,2.113011498823197e-09,0.7315596040686433
0.1033,3.5440354882198234e-09,3.400027579558954e-09,5.058913909667872e-09,4.30994897763315e-09,2.1321047649588645e-09,0.14582924064460723
0.10333,3.5306699259953362e-09,3.3900157831867663e-09,5.047429963717257e-09,4.299256469837226e-09,2.1217997850542767e-09,0.13854517146210957
0.10337,3.485119707422157e-09,3.3922159662606574e-09,5.049574355915581e-09,4.3013736413450925e-09,2.12457382807676e-09,0.09205168292989574
0.1034,3.312319370036041e-09,3.3880580210660297e-09,5.0436156593436604e-09,4.296253354504255e-09,2.1215969657532412e-09,-0.072454073268099
0.10344,3.154759402881286e-09,3.3861583156290992e-09,5.037928774929056e-09,4.292177766968374e-09,2.1237475479856004e-09,-0.21397667807062604
0.10347,2.694089232082217e-09,3.3803565825404737e-09,5.032694518410665e-09,4.2868096992573336e-09,2.116107676620426e-09,-0.600352085450931
0.10351,3.0515111391750818e-09,3.3765391102967618e-09,5.022587922687061e-09,4.279413292081894e-09,2.118749736887992e-09,-0.29763296670957046
0.10355,3.7118482768189003e-09,3.356476008943587e-09,5.001393669849298e-09,4.259069547568178e-09,2.095836014088735e-09,0.3595696410565193
0.10358,4.0961393280418674e-09,3.359010070862405e-09,4.9919879970422375e-09,4.254539492742513e-09,2.1131640160301914e-09,0.8160612571781262
0.10362,4.335619514335153e-09,3.3484057135884784e-09,4.976862876060857e-09,4.241474899027482e-09,2.105774372044497e-09,1.1285942984471762
0.10365,4.2999253068396726e-09,3.3533562357212154e-09,4.974290601162441e-09,4.241917610300095e-09,2.120769093545615e-09,1.0945345401489681
0.10369,4.2325912136759526e-09,3.3160999190159378e-09,4.9401336691649355e-09,4.207178202303484e-09,2.0720233461871774e-09,1.0277748127762987
0.10373,4.004187712291827e-09,3.3198865792367285e-09,4.937797448385389e-09,4.207283294144169e-09,2.0839750103146735e-09,0.7559324488871313
0.10376,3.738463631305045e-09,3.310008852282496e-09,4.922566282746305e-09,4.1944560146480815e-09,2.0783731963267084e-09,0.46108587797616873
0.1038,3.118820256461966e-09,3.2899115471788393e-09,4.900149611232898e-09,4.1733960135736724e-09,2.0567330218239014e-09,-0.16954704056266154
0.10383,2.487226256227954e-09,3.2798134620460467e-09,4.8849020167596484e-09,4.160487270597087e-09,2.050529725756721e-09,-0.7007418312714448
0.10387,2.032685296228978e-09,3.2630827384446834e-09,4.866053668393875e-09,4.142859316812867e-09,2.032685296228978e-09,-1.1749352296745053
