mass,limit_95,med_limit,2sigma_up,1sigma_up,1sigma_down,test_statistic
0.48104,4.421283264713347e-11,5.813059206338286e-11,8.652205238365089e-11,7.370657968732422e-11,3.6407651116561e-11,-0.6929970040089016
0.48119,4.860715872947275e-11,5.8072272957282273e-11,8.647075075142545e-11,7.365261879331629e-11,3.633427430924488e-11,-0.4935760563959731
0.48134,6.803126784441098e-11,5.8074007093952995e-11,8.644771279834668e-11,7.36392285507402e-11,3.636930334359222e-11,0.613142281045441
0.48149,7.823238673943237e-11,5.802019803410925e-11,8.639417923537171e-11,7.358657715530458e-11,3.6304650415440324e-11,1.3435663806793936
0.48164,8.340676077137448e-11,5.791523114822017e-11,8.621874491400182e-11,7.344266879618677e-11,3.625820974497315e-11,1.7661874640325426
0.48179,8.182369104408458e-11,5.788757008189385e-11,8.618979090948048e-11,7.341519059562645e-11,3.622378639264312e-11,1.6388408771855976
0.48195,7.556075361281865e-11,5.7918351339864135e-11,8.619897715231695e-11,7.343270938071119e-11,3.6286700945023367e-11,1.156817506084909
0.4821,5.85609964835695e-11,5.7803401573963737e-11,8.604291404272375e-11,7.32959871710678e-11,3.619565008114696e-11,0.04355446426088709
0.48225,3.6167340821468264e-11,5.779061455953485e-11,8.603903908280907e-11,7.328904613739101e-11,3.6167340821468264e-11,-1.4930245409956782
0.4824,3.62510322558833e-11,5.786215720946686e-11,8.611667423315116e-11,7.33620722237331e-11,3.62510322558833e-11,-1.7186386578348014
0.48255,3.6181624136140873e-11,5.778687793576571e-11,8.602332369916652e-11,7.327759994752297e-11,3.6181624136140873e-11,-1.9333520455367705
0.4827,3.6152758886439594e-11,5.7741328750335304e-11,8.59553717820926e-11,7.321983890248737e-11,3.6152758886439594e-11,-1.6753520211987127
0.48285,3.614805287228082e-11,5.7721382599569606e-11,8.591643451817818e-11,7.318963895743597e-11,3.614805287228082e-11,-1.4741663497980135
0.483,3.609632404344161e-11,5.763903906976029e-11,8.579357484114478e-11,7.308515966940717e-11,3.609632404344161e-11,-1.0669109813005937
0.48315,4.516660824104844e-11,5.762514160334196e-11,8.578142635531708e-11,7.307221044205067e-11,3.607954260953745e-11,-0.6344032004622051
0.48331,6.260901158017299e-11,5.765249333206281e-11,8.581339195799488e-11,7.310113275808837e-11,3.611082393490426e-11,0.29590218332413465
0.48346,7.510398215789423e-11,5.764281194342355e-11,8.581330213980333e-11,7.309692872006626e-11,3.608980168595465e-11,1.1474560271653416
0.48361,8.536227682441352e-11,5.771483220353442e-11,8.59234693358567e-11,7.31894910063833e-11,3.6134375044428815e-11,1.9537034017891703
0.48376,8.525623851111438e-11,5.7690050177858294e-11,8.587370630866537e-11,7.315069853677288e-11,3.6132992774806164e-11,1.9495278223694248
0.48391,7.825682467360911e-11,5.76609114556435e-11,8.582331779412411e-11,7.311074430245465e-11,3.6116366832942995e-11,1.3862275623958022
0.48406,7.05540796717886e-11,5.765369259129773e-11,8.582445377857915e-11,7.310869365670153e-11,3.6097018369414714e-11,0.8182164196542251
0.48421,5.7423839456083544e-11,5.7704466103731264e-11,8.587876875055166e-11,7.316070247097989e-11,3.615336909951953e-11,-0.014608793634589686
0.48437,3.6102223300606276e-11,5.765401667507942e-11,8.582012286341278e-11,7.310637993285762e-11,3.6102223300606276e-11,-1.1318110821759848
0.48452,3.605714413406629e-11,5.7583596973474165e-11,8.571415504881262e-11,7.301893824042628e-11,3.605714413406629e-11,-1.6018978306934413
0.48467,3.59893263032179e-11,5.747537868625006e-11,8.555902048029547e-11,7.288191416949734e-11,3.59893263032179e-11,-2.0189659273741727
0.48482,3.5985117528691224e-11,5.7469603920627045e-11,8.556692929517538e-11,7.287588478368046e-11,3.5985117528691224e-11,-1.658091518382238
0.48497,4.589696232506688e-11,5.7515727954910864e-11,8.562350904312383e-11,7.293486025150149e-11,3.601434490419107e-11,-0.5973581694004548
0.48512,6.056137428862022e-11,5.748286258638772e-11,8.558849647241719e-11,7.2901959346838e-11,3.5973576105916635e-11,0.17976600718388436
0.48528,7.29583860838062e-11,5.750712627446295e-11,8.559636949143075e-11,7.291749077539581e-11,3.6014028495940504e-11,1.0030351994893223
0.48543,7.668671360470852e-11,5.744681069802245e-11,8.551478793332046e-11,7.284540009662266e-11,3.596896127551755e-11,1.2860416214103405
0.48558,7.729310280011286e-11,5.73349265173907e-11,8.538039112696875e-11,7.272248108219742e-11,3.586000512238369e-11,1.339939276543895
0.48573,7.089249617939272e-11,5.738934452259819e-11,8.54194496448022e-11,7.276824270642521e-11,3.5934100709307343e-11,0.8642623280524719
0.48589,6.495221550154465e-11,5.743461716914211e-11,8.547911409159033e-11,7.281992625251835e-11,3.598070983075382e-11,0.4600385285928897
0.48604,6.096017493072743e-11,5.735784499463454e-11,8.538334698444908e-11,7.273288753767149e-11,3.591398097393157e-11,0.21311444365693719
0.48619,5.708014892801955e-11,5.736261554337938e-11,8.539265765181692e-11,7.273895945660141e-11,3.591649912747815e-11,-0.016175043780054223
0.48634,5.56478129006148e-11,5.736662131497019e-11,8.540758651781517e-11,7.275064004945293e-11,3.5905842913808174e-11,-0.09782988960748285
